Index_Trong_Tap_Val,ISIC_ID_Anh_Loi,Nhan_Thuc_Te (True Label),Mo_Hinh_Doan_Sai (Predicted Label)
453,ISIC_0000507,NV,MEL
455,ISIC_0069549,NV,MEL
467,ISIC_0010220,NV,MEL
469,ISIC_0634464,NV,MEL
471,ISIC_4646662,AK,BCC
478,ISIC_0243683,SCC,NV
497,ISIC_8595896,SCC,NV
508,ISIC_0069198,AK,MEL
516,ISIC_1633812,SCC,MEL
517,ISIC_0015242,SCC,NV
521,ISIC_5356282,BCC,SCC
524,ISIC_9217838,SCC,MEL
528,ISIC_7769284,SCC,DF
529,ISIC_0070621,SCC,BCC
531,ISIC_0023858,BCC,SCC
546,ISIC_0072460,BKL,NV
574,ISIC_0028118,NV,MEL
578,ISIC_0053796,MEL,NV
580,ISIC_0018633,MEL,SCC
582,ISIC_0068776,MEL,NV
584,ISIC_0772652,BCC,SCC
588,ISIC_0014284,MEL,BCC
590,ISIC_2768555,SCC,AK
591,ISIC_0056767,BCC,SCC
593,ISIC_7636162,MEL,NV
595,ISIC_0026466,VASC,MEL
597,ISIC_0012443,DF,SCC
600,ISIC_0029302,AK,SCC
620,ISIC_0071877,NV,MEL
622,ISIC_0020953,NV,SCC
628,ISIC_9626110,NV,SCC
630,ISIC_8975411,NV,SCC
636,ISIC_2462762,SCC,MEL
637,ISIC_7556680,AK,NV
639,ISIC_0057782,MEL,AK
643,ISIC_1808628,NV,SCC
648,ISIC_0064220,NV,SCC
651,ISIC_0028771,NV,AK
655,ISIC_0056917,BCC,MEL
657,ISIC_5620802,MEL,NV
661,ISIC_0061339,BCC,SCC
671,ISIC_3086392,AK,NV
674,ISIC_0057752,NV,BCC
675,ISIC_9965463,VASC,BCC
688,ISIC_9873208,SCC,BCC
689,ISIC_8617800,NV,SCC
694,ISIC_0055365,AK,MEL
699,ISIC_0036119,MEL,NV
704,ISIC_8951909,MEL,SCC
706,ISIC_9200533,VASC,MEL
712,ISIC_0013587,VASC,MEL
719,ISIC_1124696,SCC,MEL
723,ISIC_0072628,VASC,SCC
726,ISIC_6393624,BKL,NV
729,ISIC_0026245,AK,MEL
735,ISIC_0000026,MEL,NV
741,ISIC_0027897,NV,BCC
756,ISIC_0017951,NV,SCC
760,ISIC_4119665,BCC,NV
763,ISIC_0012896,BCC,SCC
767,ISIC_0063228,MEL,AK
772,ISIC_0059484,DF,MEL
774,ISIC_0477793,NV,SCC
776,ISIC_6068497,AK,NV
785,ISIC_5676941,SCC,NV
787,ISIC_0023018,SCC,BCC
796,ISIC_0058560,AK,BCC
804,ISIC_0058829,NV,SCC
813,ISIC_6768858,DF,SCC
814,ISIC_0025157,AK,MEL
816,ISIC_0027663,MEL,NV
821,ISIC_0249688,NV,MEL
830,ISIC_0064046,SCC,MEL
831,ISIC_6570276,NV,SCC
834,ISIC_0010309,SCC,MEL
838,ISIC_0013091,VASC,BCC
842,ISIC_1260043,BKL,NV
844,ISIC_0587728,MEL,NV
845,ISIC_0064015,SCC,BCC
847,ISIC_6352565,MEL,SCC
865,ISIC_0021234,SCC,BCC
889,ISIC_0066813,SCC,NV
890,ISIC_2731321,SCC,BCC
906,ISIC_7146293,MEL,SCC
907,ISIC_8368960,BCC,VASC
912,ISIC_0064469,SCC,AK
913,ISIC_0011639,AK,MEL
919,ISIC_0057150,NV,MEL
924,ISIC_0022709,VASC,SCC
934,ISIC_0059189,SCC,MEL
943,ISIC_0067081,VASC,BCC
946,ISIC_7434343,SCC,BCC
957,ISIC_6508531,BCC,SCC
960,ISIC_0069137,NV,MEL
966,ISIC_0023019,SCC,VASC
970,ISIC_8329990,BCC,SCC
974,ISIC_0054778,BCC,AK
975,ISIC_6212874,BKL,SCC
982,ISIC_6069561,BCC,MEL
998,ISIC_0029119,NV,BCC
999,ISIC_0071969,VASC,BCC
1007,ISIC_2631302,NV,SCC
1013,ISIC_0012913,BCC,AK
1014,ISIC_0068134,NV,BCC
1022,ISIC_8556662,NV,SCC
1036,ISIC_7983228,VASC,SCC
1037,ISIC_0046397,NV,SCC
1040,ISIC_0060519,MEL,NV
1044,ISIC_6203250,NV,MEL
1048,ISIC_0066287,BKL,BCC
1049,ISIC_7573463,MEL,SCC
1050,ISIC_7784876,MEL,NV
1062,ISIC_0021430,BCC,SCC
1066,ISIC_6628829,SCC,BCC
1083,ISIC_0012044,MEL,NV
1090,ISIC_0066633,MEL,NV
1092,ISIC_0599605,MEL,NV
1093,ISIC_0057353,VASC,BCC
1098,ISIC_6045323,NV,MEL
1101,ISIC_0054458,MEL,NV
1111,ISIC_1059147,SCC,NV
1126,ISIC_0011087,NV,MEL
1129,ISIC_7346491,MEL,NV
1133,ISIC_5986238,SCC,BCC
1137,ISIC_0068412,SCC,BCC
1151,ISIC_5549257,NV,SCC
1167,ISIC_0012257,NV,SCC
1168,ISIC_0061185,MEL,NV
1174,ISIC_0061933,NV,MEL
1201,ISIC_0036148,NV,BCC
1202,ISIC_0054274,MEL,BCC
1204,ISIC_6022197,SCC,BCC
1205,ISIC_1795502,SCC,NV
1206,ISIC_0036340,NV,SCC
1209,ISIC_2338297,SCC,NV
1210,ISIC_0029570,MEL,NV
1222,ISIC_6770701,SCC,MEL
1228,ISIC_0032075,NV,DF
1232,ISIC_4289007,SCC,NV
1237,ISIC_0072515,BCC,MEL
1239,ISIC_9729042,MEL,VASC
1242,ISIC_0013099,BCC,SCC
1258,ISIC_0058284,MEL,BCC
1261,ISIC_0061035,BCC,NV
1266,ISIC_1806137,SCC,BCC
1273,ISIC_3789914,SCC,VASC
1276,ISIC_0035624,AK,NV
1284,ISIC_0014170,SCC,VASC
1287,ISIC_5268767,BCC,SCC
1293,ISIC_3975783,SCC,MEL
1299,ISIC_7545605,SCC,VASC
1313,ISIC_0071668,MEL,NV
1317,ISIC_0029937,MEL,NV
1318,ISIC_4430815,SCC,MEL
1320,ISIC_5833579,SCC,MEL
1327,ISIC_0056738,NV,MEL
1338,ISIC_0013321,MEL,VASC
1354,ISIC_0638700,MEL,NV
1357,ISIC_2208601,AK,SCC
1363,ISIC_4967361,MEL,BCC
1367,ISIC_0071257,MEL,BCC
1371,ISIC_7936755,MEL,SCC
1377,ISIC_2545299,SCC,MEL
1381,ISIC_0023875,SCC,NV
1385,ISIC_0071530,AK,BCC
1388,ISIC_9463016,VASC,BCC
1394,ISIC_0071773,NV,BCC
1397,ISIC_3438049,AK,NV
1408,ISIC_0067804,MEL,BCC
1411,ISIC_9130157,MEL,SCC
1413,ISIC_0070426,NV,MEL
1417,ISIC_0012768,NV,SCC
1444,ISIC_3433035,BCC,AK
1449,ISIC_0056326,NV,MEL
1454,ISIC_0013757,SCC,VASC
1460,ISIC_5622428,SCC,NV
1462,ISIC_0064984,AK,BCC
1464,ISIC_0014237,SCC,BCC
1466,ISIC_0015269,AK,MEL
1472,ISIC_1480200,AK,MEL
1478,ISIC_4252331,SCC,NV
1491,ISIC_0054052,VASC,SCC
1493,ISIC_2844135,VASC,NV
1504,ISIC_0016056,NV,BCC
1506,ISIC_0031957,MEL,NV
1511,ISIC_0071470,MEL,BCC
1519,ISIC_0014723,AK,MEL
1526,ISIC_7755096,MEL,NV
1550,ISIC_0024187,SCC,BCC
1563,ISIC_0021829,BCC,SCC
1565,ISIC_0012078,NV,MEL
1572,ISIC_0063313,NV,MEL
1573,ISIC_0021235,SCC,BCC
1576,ISIC_0310134,NV,SCC
1580,ISIC_5588496,MEL,AK
1584,ISIC_0054436,BCC,NV
1587,ISIC_5086151,VASC,BCC
1601,ISIC_1052608,NV,BCC
1610,ISIC_8603493,SCC,NV
1644,ISIC_7702895,NV,SCC
1663,ISIC_0070266,BCC,MEL
1667,ISIC_0033283,NV,MEL
1669,ISIC_7886084,SCC,MEL
1670,ISIC_0429825,MEL,NV
1671,ISIC_4640181,BCC,NV
1676,ISIC_0066342,NV,MEL
1677,ISIC_0060840,NV,AK
1691,ISIC_4983165,BCC,MEL
1709,ISIC_0055825,MEL,NV
1713,ISIC_9880591,NV,SCC
1718,ISIC_3736336,MEL,SCC
1730,ISIC_0066037,AK,MEL
1731,ISIC_2457931,NV,SCC
1735,ISIC_0057568,SCC,DF
1738,ISIC_4924775,BCC,MEL
1744,ISIC_0062936,BCC,MEL
1745,ISIC_2277714,MEL,NV
1750,ISIC_0021158,NV,SCC
1759,ISIC_0071172,BCC,MEL
1764,ISIC_0011862,MEL,SCC
1767,ISIC_0072429,MEL,NV
1769,ISIC_9661422,SCC,VASC
1783,ISIC_4322848,SCC,NV
1786,ISIC_0023330,BKL,MEL
1787,ISIC_0058060,BCC,MEL
1791,ISIC_4063953,AK,MEL
1796,ISIC_0036093,MEL,NV
1806,ISIC_0012767,BCC,SCC
1807,ISIC_9513220,NV,MEL
1813,ISIC_0159971,NV,SCC
1814,ISIC_9399586,MEL,NV
1826,ISIC_6769979,AK,SCC
1844,ISIC_0060815,DF,BCC
1847,ISIC_6271360,AK,NV
1851,ISIC_2695360,SCC,BCC
1861,ISIC_0056776,SCC,BCC
1866,ISIC_0028448,AK,NV
1869,ISIC_1486076,NV,SCC
1875,ISIC_9451191,NV,BCC
1886,ISIC_0029051,AK,NV
1896,ISIC_0062859,SCC,MEL
1899,ISIC_2205902,NV,BCC
1919,ISIC_4111788,AK,MEL
1921,ISIC_0073052,MEL,AK
1926,ISIC_0032874,NV,MEL
1934,ISIC_3206521,SCC,AK
1935,ISIC_9832929,NV,SCC
1946,ISIC_4807050,SCC,NV
1950,ISIC_0072125,NV,MEL
1954,ISIC_0070218,NV,BCC
1972,ISIC_0021461,BKL,BCC
1973,ISIC_0018521,NV,MEL
1982,ISIC_0010156,SCC,MEL
1984,ISIC_0012346,NV,BCC
1986,ISIC_4275083,MEL,VASC
1987,ISIC_1490117,SCC,VASC
1995,ISIC_0031009,BCC,VASC
2004,ISIC_0035669,AK,NV
2009,ISIC_0021071,SCC,BCC
2010,ISIC_5823076,SCC,NV
2014,ISIC_0064879,NV,SCC
2023,ISIC_0070932,BCC,AK
2029,ISIC_0061144,BCC,MEL
2034,ISIC_3402327,NV,SCC
2035,ISIC_0024006,BCC,SCC
2040,ISIC_0063670,NV,MEL
2043,ISIC_0056589,SCC,MEL
2044,ISIC_2437633,MEL,SCC
2045,ISIC_6751355,NV,MEL
2053,ISIC_1797795,MEL,SCC
2056,ISIC_0012736,BCC,NV
2057,ISIC_8464434,NV,SCC
2061,ISIC_3622555,MEL,SCC
2066,ISIC_4449211,AK,MEL
2078,ISIC_0061204,SCC,BCC
2081,ISIC_0021872,SCC,NV
2091,ISIC_0060070,SCC,MEL
2098,ISIC_3782736,BCC,SCC
2105,ISIC_0025130,VASC,MEL
2108,ISIC_0014476,MEL,BKL
2114,ISIC_0063338,BCC,VASC
2116,ISIC_0013598,SCC,VASC
2122,ISIC_0030659,BCC,NV
2128,ISIC_0070832,BCC,VASC
2134,ISIC_0067774,BCC,AK
2139,ISIC_8546307,AK,SCC
2151,ISIC_9366902,VASC,BCC
2158,ISIC_1223751,SCC,NV
2159,ISIC_0070082,AK,BCC
2169,ISIC_0022713,VASC,BCC
2174,ISIC_9599267,VASC,MEL
2183,ISIC_8068693,MEL,SCC
2184,ISIC_0061666,NV,MEL
2186,ISIC_0068249,AK,MEL
2187,ISIC_2482447,SCC,BCC
2200,ISIC_0561104,SCC,NV
2203,ISIC_4636840,SCC,MEL
2208,ISIC_9093510,SCC,MEL
2212,ISIC_5696465,BCC,SCC
2213,ISIC_2742711,MEL,BCC
2225,ISIC_3671995,SCC,NV
2230,ISIC_8138814,NV,SCC
2234,ISIC_0026236,MEL,NV
2235,ISIC_6409368,BCC,AK
2237,ISIC_6143889,NV,SCC
2247,ISIC_0024337,AK,NV
2257,ISIC_3259871,MEL,SCC
2259,ISIC_0033503,NV,AK
2261,ISIC_0056858,VASC,BCC
2263,ISIC_6287803,NV,SCC
2264,ISIC_0026956,NV,BCC
2270,ISIC_0035374,BCC,NV
2278,ISIC_4982046,MEL,SCC
2279,ISIC_4795029,SCC,BCC
2280,ISIC_0014588,AK,SCC
2282,ISIC_3586669,AK,SCC
2291,ISIC_8234773,MEL,SCC
2306,ISIC_3162213,MEL,NV
2316,ISIC_9185835,BCC,SCC
2319,ISIC_0034057,AK,MEL
2321,ISIC_5027597,AK,BCC
2322,ISIC_5805361,AK,NV
2333,ISIC_2844539,MEL,SCC
2336,ISIC_1706912,MEL,SCC
2337,ISIC_0062699,AK,BCC
2339,ISIC_4093313,MEL,NV
2342,ISIC_0035899,AK,MEL
2346,ISIC_0023687,BCC,SCC
2357,ISIC_6976629,AK,NV
2358,ISIC_0027105,MEL,NV
2365,ISIC_8726132,AK,BCC
2368,ISIC_7889097,MEL,SCC
2383,ISIC_0025313,MEL,NV
2394,ISIC_2135474,MEL,SCC
2398,ISIC_0054795,MEL,AK
2405,ISIC_0058844,BKL,BCC
2406,ISIC_9112608,BCC,VASC
2409,ISIC_0011511,MEL,BCC
2411,ISIC_0064511,AK,SCC
2412,ISIC_8599322,AK,BCC
2420,ISIC_0027154,AK,MEL
2426,ISIC_7208595,NV,MEL
2441,ISIC_0061632,NV,MEL
2443,ISIC_2228720,BCC,MEL
2444,ISIC_9528336,NV,SCC
2450,ISIC_3237557,SCC,BCC
2460,ISIC_3332799,VASC,BCC
2464,ISIC_9553830,SCC,BCC
2466,ISIC_0022736,AK,MEL
2478,ISIC_4992451,NV,AK
2490,ISIC_0059535,AK,BCC
2505,ISIC_5220899,NV,SCC
2517,ISIC_8937746,NV,SCC
2518,ISIC_0028760,MEL,NV
2522,ISIC_6892058,SCC,MEL
2523,ISIC_0015056,NV,MEL
2525,ISIC_9830189,NV,SCC
2528,ISIC_0159060,SCC,MEL
2532,ISIC_0028797,AK,NV
2536,ISIC_0060053,BCC,SCC
2555,ISIC_0065168,MEL,BCC
2558,ISIC_0023361,VASC,BKL
2571,ISIC_0014557,MEL,SCC
2572,ISIC_0029039,BKL,SCC
2581,ISIC_0060966,AK,MEL
2582,ISIC_9780031,SCC,NV
2585,ISIC_0046334,NV,BKL
2596,ISIC_0024490,AK,MEL
2597,ISIC_0030756,MEL,NV
2602,ISIC_0024124,VASC,SCC
2610,ISIC_0029640,NV,MEL
2614,ISIC_0073223,VASC,SCC
2633,ISIC_0069240,NV,VASC
2648,ISIC_0055494,BCC,NV
2649,ISIC_0023800,BCC,BKL
2654,ISIC_0014471,BCC,SCC
2656,ISIC_0021120,AK,BKL
2660,ISIC_0057224,VASC,BKL
2665,ISIC_9783201,NV,SCC
2666,ISIC_0013084,NV,SCC
2673,ISIC_0012868,BCC,VASC
2683,ISIC_0012987,NV,VASC
2685,ISIC_0013310,NV,SCC
2687,ISIC_0064052,NV,AK
2694,ISIC_2759533,SCC,BCC
2700,ISIC_8910565,DF,VASC
2702,ISIC_0014473,NV,MEL
2711,ISIC_8902296,MEL,NV
2712,ISIC_0068109,BCC,NV
2713,ISIC_1999826,VASC,MEL
2716,ISIC_7023126,SCC,NV
2725,ISIC_0068955,VASC,SCC
2729,ISIC_0009891,NV,MEL
2731,ISIC_0068687,AK,SCC
2739,ISIC_9780632,MEL,BCC
2742,ISIC_3717769,SCC,MEL
2749,ISIC_0065320,NV,MEL
2757,ISIC_4468975,SCC,AK
2763,ISIC_0067549,MEL,NV
2770,ISIC_0015476,NV,MEL
2787,ISIC_0065664,BCC,MEL
2802,ISIC_7520843,MEL,SCC
2804,ISIC_0068569,NV,MEL
2812,ISIC_0028148,MEL,NV
2814,ISIC_0035446,BCC,MEL
2821,ISIC_0034296,AK,SCC
2824,ISIC_0070659,NV,MEL
2827,ISIC_1689858,NV,BKL
2829,ISIC_0014213,VASC,SCC
2833,ISIC_0929834,SCC,BCC
2834,ISIC_0030427,BKL,MEL
2848,ISIC_5566852,SCC,BCC
2849,ISIC_0014682,NV,MEL
2854,ISIC_0055209,BCC,NV
2860,ISIC_7797689,AK,SCC
2861,ISIC_9652293,VASC,BCC
2866,ISIC_9942350,MEL,NV
2883,ISIC_0013769,MEL,SCC
2884,ISIC_6358504,AK,SCC
2890,ISIC_0061041,VASC,BCC
2910,ISIC_0071604,BCC,NV
2920,ISIC_0028671,BCC,MEL
2922,ISIC_4330964,NV,SCC
2924,ISIC_3687238,SCC,MEL
2926,ISIC_0011076,NV,MEL
2927,ISIC_0056629,VASC,BCC
2933,ISIC_0019354,NV,MEL
2936,ISIC_1752943,MEL,SCC
2938,ISIC_0058074,VASC,SCC
2943,ISIC_0057648,NV,MEL
2945,ISIC_0056487,MEL,NV
2948,ISIC_0035245,NV,SCC
2957,ISIC_0265421,SCC,BCC
2963,ISIC_0019903,NV,MEL
2988,ISIC_0023119,MEL,BKL
2989,ISIC_7010626,NV,SCC
2993,ISIC_0013782,AK,MEL
2995,ISIC_2126637,SCC,BCC
3001,ISIC_0021767,AK,MEL
3002,ISIC_6378017,SCC,MEL
3007,ISIC_3947454,SCC,NV
3011,ISIC_0012224,AK,SCC
3017,ISIC_0068020,SCC,MEL
3021,ISIC_2476534,MEL,SCC
3023,ISIC_0012954,VASC,SCC
3027,ISIC_0055236,MEL,BCC
3049,ISIC_0011019,SCC,NV
3058,ISIC_0014062,MEL,VASC
3071,ISIC_0063391,NV,MEL
3075,ISIC_0014837,DF,NV
3077,ISIC_0064710,NV,AK
3080,ISIC_7169372,BCC,SCC
3089,ISIC_3527851,VASC,BCC
3090,ISIC_0062025,NV,MEL
3091,ISIC_0069293,MEL,BCC
3092,ISIC_0058550,MEL,NV
3101,ISIC_0068633,MEL,NV
3112,ISIC_0028017,MEL,NV
3115,ISIC_0046943,NV,MEL
3121,ISIC_0009927,MEL,NV
3123,ISIC_0014021,VASC,SCC
3124,ISIC_0055572,MEL,NV
3130,ISIC_9311922,NV,SCC
3133,ISIC_0035719,MEL,NV
3144,ISIC_7053064,NV,MEL
3162,ISIC_7734472,BCC,SCC
3168,ISIC_0034578,AK,MEL
3173,ISIC_0057349,BCC,MEL
3176,ISIC_3359880,MEL,SCC
3181,ISIC_0011493,MEL,AK
3182,ISIC_1568370,SCC,BKL
3183,ISIC_6965881,MEL,SCC
3188,ISIC_2581622,DF,MEL
3201,ISIC_0021137,AK,NV
3208,ISIC_0034921,NV,MEL
3221,ISIC_0012862,VASC,BCC
3228,ISIC_5207549,NV,AK
3234,ISIC_0033446,AK,VASC
3244,ISIC_0055450,MEL,BCC
3245,ISIC_0070474,BKL,MEL
3251,ISIC_4390313,AK,SCC
3253,ISIC_0035070,MEL,NV
3259,ISIC_0010082,AK,SCC
3261,ISIC_0035057,AK,NV
3265,ISIC_0054781,AK,VASC
3276,ISIC_0024058,BCC,AK
3277,ISIC_0064081,BKL,MEL
3282,ISIC_2246150,NV,MEL
3298,ISIC_5371192,BKL,MEL
3322,ISIC_3317877,SCC,NV
3325,ISIC_0012811,AK,NV
3333,ISIC_0073088,VASC,BCC
3339,ISIC_0024367,MEL,NV
3349,ISIC_0055765,BCC,BKL
3358,ISIC_0022411,AK,SCC
3360,ISIC_0061262,BKL,BCC
3362,ISIC_0022252,SCC,MEL
3363,ISIC_0024178,SCC,BKL
3365,ISIC_0072301,MEL,NV
3373,ISIC_4940407,BCC,SCC
3375,ISIC_6351671,SCC,MEL
3385,ISIC_7478833,BCC,MEL
3386,ISIC_2256495,DF,SCC
3387,ISIC_9880684,AK,NV
3389,ISIC_1427578,MEL,BCC
3391,ISIC_0021703,SCC,BKL
3395,ISIC_0062114,MEL,AK
3396,ISIC_2867197,SCC,MEL
3400,ISIC_0073002,BCC,BKL
3402,ISIC_0056980,NV,MEL
3411,ISIC_0034871,MEL,NV
3419,ISIC_0056167,MEL,AK
3420,ISIC_0012705,AK,SCC
3426,ISIC_0070638,NV,MEL
3430,ISIC_0014261,BCC,SCC
3431,ISIC_0033869,VASC,MEL
3449,ISIC_5891384,MEL,SCC
3451,ISIC_2829762,VASC,BCC
3456,ISIC_7799913,VASC,BCC
3458,ISIC_0069830,NV,AK
3460,ISIC_0013371,AK,VASC
3461,ISIC_0071212,AK,MEL
3466,ISIC_0547517,SCC,BCC
3481,ISIC_0505844,BCC,NV
3483,ISIC_0030129,MEL,NV
3484,ISIC_0072898,AK,BCC
3489,ISIC_2849358,NV,SCC
3490,ISIC_7334939,MEL,NV
3493,ISIC_0066312,NV,MEL
3494,ISIC_0015090,NV,MEL
3495,ISIC_9713038,SCC,AK
3496,ISIC_0783408,BCC,MEL
3497,ISIC_8755413,SCC,BKL
3504,ISIC_9510287,SCC,NV
3511,ISIC_0023205,NV,MEL
3515,ISIC_0015058,SCC,BCC
3527,ISIC_0021360,BCC,VASC
3529,ISIC_8744116,BCC,MEL
3530,ISIC_4922943,DF,NV
3541,ISIC_0022118,SCC,VASC
3551,ISIC_0063839,MEL,NV
3552,ISIC_3481778,AK,NV
3555,ISIC_2834887,NV,SCC
3556,ISIC_0014815,NV,MEL
3567,ISIC_6809586,MEL,SCC
3569,ISIC_0033295,VASC,SCC
3572,ISIC_0011546,NV,SCC
3573,ISIC_0011784,NV,SCC
3574,ISIC_0056129,NV,MEL
3577,ISIC_0026395,BCC,NV
3581,ISIC_5686692,BCC,MEL
3585,ISIC_8129135,BCC,SCC
3592,ISIC_4901933,BCC,SCC
3593,ISIC_0013303,BCC,VASC
3595,ISIC_6762834,SCC,NV
3615,ISIC_6562442,MEL,AK
3617,ISIC_0021811,VASC,MEL
3622,ISIC_0028735,BKL,MEL
3626,ISIC_8087949,MEL,AK
3630,ISIC_0034189,AK,MEL
3633,ISIC_7921865,SCC,BCC
3635,ISIC_0000362,NV,MEL
3641,ISIC_0022630,SCC,AK
3648,ISIC_0012263,NV,MEL
3654,ISIC_9763039,BCC,VASC
3658,ISIC_0013445,BCC,VASC
3673,ISIC_0063132,AK,VASC
3677,ISIC_7763042,MEL,SCC
3680,ISIC_0034804,MEL,AK
3682,ISIC_7160492,BKL,NV
3692,ISIC_0056859,SCC,NV
3696,ISIC_0054498,BCC,MEL
3700,ISIC_3001941,SCC,NV
3705,ISIC_2444391,NV,BCC
3707,ISIC_0022624,MEL,SCC
3712,ISIC_0055381,AK,BCC
3714,ISIC_0695712,NV,SCC
3719,ISIC_0023323,MEL,BCC
3722,ISIC_0012961,NV,MEL
3723,ISIC_2306349,MEL,SCC
3759,ISIC_0680993,SCC,BCC
3773,ISIC_0289994,VASC,MEL
3774,ISIC_4413011,BCC,SCC
3780,ISIC_0062850,MEL,VASC
3781,ISIC_0014029,AK,NV
3787,ISIC_4174378,SCC,BCC
3795,ISIC_9828336,SCC,NV
3797,ISIC_0022955,BCC,SCC
3798,ISIC_0061616,NV,BCC
3800,ISIC_3167917,SCC,BCC
3801,ISIC_0026362,VASC,MEL
3805,ISIC_0026216,NV,MEL
3809,ISIC_0377055,VASC,BCC
3811,ISIC_0029687,AK,NV
3816,ISIC_0371179,BCC,MEL
3826,ISIC_0063079,NV,AK
3829,ISIC_0060142,SCC,BCC
3835,ISIC_1950045,AK,NV
3844,ISIC_0012620,NV,MEL
3846,ISIC_3246140,AK,NV
3859,ISIC_0071746,MEL,AK
3861,ISIC_9193127,MEL,NV
3862,ISIC_0029443,AK,NV
3863,ISIC_0014172,VASC,AK
3868,ISIC_0014583,AK,NV
3871,ISIC_0056829,AK,BCC
3875,ISIC_0069093,MEL,AK
3878,ISIC_6119824,NV,AK
3880,ISIC_8717495,SCC,NV
3882,ISIC_0046745,NV,SCC
3888,ISIC_0070040,AK,NV
3900,ISIC_0056561,SCC,NV
3903,ISIC_0026046,AK,NV
3907,ISIC_0066832,NV,MEL
3909,ISIC_0024037,VASC,BCC
3910,ISIC_5390060,NV,MEL
3914,ISIC_0071288,SCC,BCC
3918,ISIC_0012274,NV,MEL
3921,ISIC_0068650,BCC,AK
3931,ISIC_8738186,MEL,NV
3932,ISIC_8624049,MEL,NV
3934,ISIC_7574876,SCC,MEL
3937,ISIC_0060834,MEL,SCC
3943,ISIC_0058651,BCC,MEL
3944,ISIC_2147183,SCC,MEL
3947,ISIC_0069953,AK,MEL
3955,ISIC_0028154,NV,BCC
3969,ISIC_0058396,BKL,MEL
3975,ISIC_9874673,NV,MEL
3978,ISIC_0060124,NV,SCC
3983,ISIC_0013716,VASC,SCC
3984,ISIC_0024313,MEL,NV
3985,ISIC_6276268,NV,AK
3987,ISIC_0032166,NV,BCC
3988,ISIC_0022044,NV,SCC
3994,ISIC_8913936,DF,BCC
3997,ISIC_0060056,SCC,VASC
4003,ISIC_0055330,BCC,BKL
4004,ISIC_0029331,BCC,VASC
4005,ISIC_9000824,MEL,NV
4018,ISIC_7841575,NV,MEL
